iter	Logloss
0	0.6695927847
1	0.6507505978
2	0.6366910307
3	0.6209978329
4	0.607078334
5	0.596093638
6	0.586606112
7	0.573673401
8	0.5621859621
9	0.5515135476
10	0.5423360402
11	0.5347354815
12	0.5265562183
13	0.5203654044
14	0.5124285512
15	0.5080589198
16	0.5035366363
17	0.4997709224
18	0.494533268
19	0.490469812
20	0.4858889078
21	0.4815681001
22	0.4779272238
23	0.4756119807
24	0.4730495514
25	0.470362318
26	0.467063556
27	0.4638074935
28	0.4601270149
29	0.4577596787
30	0.4543313887
31	0.4520081262
32	0.4492386657
33	0.4473600015
34	0.4450675208
35	0.4430792898
36	0.4408646174
37	0.4392310445
38	0.4377669124
39	0.4359827164
40	0.4339465891
41	0.4324559824
42	0.4305972148
43	0.4291369618
44	0.4280434399
45	0.4262681877
46	0.42419651
47	0.4224232622
48	0.4214521196
49	0.4197826121
50	0.4179692346
51	0.4161772089
52	0.4142279625
53	0.4125736779
54	0.4112573821
55	0.4101575402
56	0.4088781093
57	0.4073964374
58	0.4059413754
59	0.4040458308
60	0.4024898481
61	0.4015454535
62	0.400117768
63	0.3987171822
64	0.3980294966
65	0.396287346
66	0.3953102812
67	0.39442143
68	0.3932481217
69	0.3918368912
70	0.3912838317
71	0.3902457427
72	0.3892826949
73	0.3880496652
74	0.386752518
75	0.38572809
76	0.3841481657
77	0.383205025
78	0.3824679003
79	0.3816958452
80	0.3806920918
81	0.3797585698
82	0.3791701666
83	0.377402233
84	0.375725492
85	0.3746703732
86	0.3738176928
87	0.3720821315
88	0.3711773774
89	0.3699176754
90	0.368647527
91	0.3676664306
92	0.3672699882
93	0.3656526495
94	0.3646960454
95	0.3633548408
96	0.3622161007
97	0.3617309954
98	0.3605843421
99	0.3601898639
100	0.3593725252
101	0.3590639258
102	0.3582019692
103	0.3572710768
104	0.3559703201
105	0.3551641725
106	0.3545250051
107	0.3539122068
108	0.353059937
109	0.3511067156
110	0.3503459093
111	0.3497414633
112	0.3485212648
113	0.3484447195
114	0.3475454126
115	0.3468566927
116	0.3461584765
117	0.345805454
118	0.3453912906
119	0.3445714271
120	0.3439316572
121	0.3437875045
122	0.3429913324
123	0.3424971701
124	0.3422844232
125	0.3421113287
126	0.3412927394
127	0.3410871368
128	0.3401070205
129	0.3393650849
130	0.3379662582
131	0.3375211028
132	0.3372366335
133	0.3366413264
134	0.3358449736
135	0.3353489077
136	0.3341650042
137	0.3334211397
138	0.3329559545
139	0.3317552639
140	0.3315835768
141	0.3304567096
142	0.3300387654
143	0.3287382059
144	0.3279749166
145	0.3268698648
146	0.3260591841
147	0.3254253786
148	0.3251632056
149	0.3243270679
150	0.3234046193
151	0.3230430258
152	0.3220216291
153	0.321855866
154	0.3215602022
155	0.3209622404
156	0.3200949659
157	0.31959892
158	0.3185549009
159	0.3179231998
160	0.3175457185
161	0.3169744352
162	0.3155067214
163	0.3144564645
164	0.3136824871
165	0.3130293498
166	0.3123781731
167	0.3114506895
168	0.311059576
169	0.3108446792
170	0.3106984809
171	0.3096686287
172	0.3088881982
173	0.3087102363
174	0.308140258
175	0.3076293357
176	0.3075284025
177	0.3071418657
178	0.3060299544
179	0.3058608995
180	0.3054069537
181	0.3044211717
182	0.3030782087
183	0.3022682857
184	0.3016722659
185	0.3011674679
186	0.3005305491
187	0.2999831725
188	0.2987248931
189	0.2983267063
190	0.2979126478
191	0.2973366033
192	0.2966457094
193	0.2963176482
194	0.2961221988
195	0.2956687101
196	0.2950634978
197	0.2938047878
198	0.2931807518
199	0.2922713116
200	0.2914136577
201	0.2907493728
202	0.2900506872
203	0.2897370367
204	0.2891453558
205	0.2882624753
206	0.287682106
207	0.2870388212
208	0.2862091938
209	0.2861492387
210	0.2857540679
211	0.2853034911
212	0.2836905292
213	0.2832026861
214	0.282189757
215	0.2816418188
216	0.2812863869
217	0.2804572126
218	0.2799636845
219	0.2796179869
220	0.2793832009
221	0.2782642776
222	0.27779003
223	0.2773775706
224	0.2766538984
225	0.2758375617
226	0.2744079947
227	0.2739124325
228	0.2736035743
229	0.2732494865
230	0.2729329611
231	0.2728370684
232	0.2720762175
233	0.2712964851
234	0.2707753242
235	0.2704747139
236	0.2700862855
237	0.2688556804
238	0.268078356
239	0.2674715137
240	0.2674267433
241	0.2667280688
242	0.2664956597
243	0.2657904285
244	0.2645690908
245	0.2633717394
246	0.2624409051
247	0.2618526615
248	0.2617785338
249	0.2611942525
250	0.2605598592
251	0.2600513172
252	0.2593639106
253	0.2587116447
254	0.2584157847
255	0.2575020426
256	0.2571155919
257	0.256244941
258	0.2555937054
259	0.2542211051
260	0.2534003825
261	0.253168594
262	0.252309938
263	0.2519142349
264	0.2518783402
265	0.2511087748
266	0.2506014941
267	0.2501985902
268	0.2494250799
269	0.2493846786
270	0.2489218125
271	0.247984767
272	0.2472384938
273	0.2466012011
274	0.2460986267
275	0.2452432249
276	0.2444231228
277	0.2440992693
278	0.24368236
279	0.2436159117
280	0.2433855083
281	0.2432138318
282	0.2429881879
283	0.2427752828
284	0.2426845788
285	0.2419781332
286	0.2415247825
287	0.240673875
288	0.2405447606
289	0.2399131987
290	0.239307203
291	0.2382912451
292	0.2379283467
293	0.2375821964
294	0.236883097
295	0.2366961903
296	0.2362975462
297	0.2359781825
298	0.2358248196
299	0.2351265407
300	0.2342449352
301	0.2340351939
302	0.2333406112
303	0.2326799017
304	0.2323366309
305	0.2316354197
306	0.2310141996
307	0.2303681073
308	0.2295014758
309	0.2294463256
310	0.2285525329
311	0.2284398008
312	0.2280688566
313	0.2274573147
314	0.2271015856
315	0.2266553126
316	0.2261447823
317	0.2260610108
318	0.2255160211
319	0.2252354661
320	0.2247298545
321	0.224160457
322	0.2240034907
323	0.223528124
324	0.2234796632
325	0.2230006836
326	0.2229707769
327	0.2227828607
328	0.2225411145
329	0.2221008225
330	0.2214446709
331	0.2213197936
332	0.2211041611
333	0.220411465
334	0.2198368774
335	0.219455152
336	0.2186909768
337	0.2186155872
338	0.2180160555
339	0.2173399972
340	0.2171398996
341	0.2162343883
342	0.2158915183
343	0.2152075456
344	0.2147611077
345	0.2145735152
346	0.214017906
347	0.2138441719
348	0.2134399895
349	0.212674605
350	0.2118951131
351	0.211719478
352	0.2110817088
353	0.2103038628
354	0.2098346937
355	0.2093353434
356	0.2088765166
357	0.2084756801
358	0.2080952158
359	0.2079333809
360	0.2073133014
361	0.2072864642
362	0.2072609257
363	0.2067566023
364	0.206318071
365	0.206245434
366	0.2056908566
367	0.2050780321
368	0.2050410736
369	0.2049422779
370	0.2046957202
371	0.2046184539
372	0.2040172346
373	0.2035834133
374	0.2030386514
375	0.2030153772
376	0.2025454522
377	0.2024956997
378	0.2024578475
379	0.202157504
380	0.201851446
381	0.2011584255
382	0.2003313238
383	0.2001813328
384	0.1999378715
385	0.1993711586
386	0.1991699475
387	0.1985397817
388	0.198453451
389	0.1981466298
390	0.1976748772
391	0.1970679578
392	0.1968192861
393	0.1963324738
394	0.1959023663
395	0.1953972031
396	0.1951005463
397	0.1947943257
398	0.1942643611
399	0.1938948137
400	0.1933387267
401	0.1929960841
402	0.1925800124
403	0.191891036
404	0.1918288745
405	0.1912442862
406	0.191093428
407	0.1906382628
408	0.1904509347
409	0.1899878316
410	0.1899687839
411	0.189950108
412	0.1895132136
413	0.188714254
414	0.1886460888
415	0.1884184358
416	0.1880772237
417	0.1875018628
418	0.1873609173
419	0.1873105856
420	0.1869728879
421	0.1867159145
422	0.186579605
423	0.1861270578
424	0.1856742348
425	0.185112792
426	0.1847130905
427	0.1842252105
428	0.184057691
429	0.1833461673
430	0.1832293186
431	0.1831961207
432	0.182766821
433	0.1827352104
434	0.1820795072
435	0.1817086398
436	0.1813084867
437	0.1810269823
438	0.1809746681
439	0.1805531758
440	0.1800649517
441	0.1799195842
442	0.1794402094
443	0.1788840778
444	0.1784282023
445	0.1781285696
446	0.1777945896
447	0.1771655033
448	0.1766293624
449	0.1760896659
450	0.1757483884
451	0.1754898249
452	0.1748564556
453	0.1746473957
454	0.1744916205
455	0.1742300972
456	0.1740264145
457	0.173609325
458	0.1735919175
459	0.1734122681
460	0.1730946789
461	0.172604621
462	0.1721769722
463	0.1718034454
464	0.1714635624
465	0.1714355251
466	0.1710712784
467	0.1707650518
468	0.1703958822
469	0.1702058507
470	0.1698641096
471	0.1696565534
472	0.169623323
473	0.1695077169
474	0.1692105466
475	0.1690637512
476	0.1688082854
477	0.1683712929
478	0.1679163533
479	0.1678500541
480	0.1676192474
481	0.1675938269
482	0.1673728794
483	0.1673424586
484	0.166956066
485	0.1666427277
486	0.1663358434
487	0.1660727659
488	0.1655741039
489	0.1655214118
490	0.1653043633
491	0.1649671036
492	0.1646255065
493	0.164105345
494	0.1636119566
495	0.1634944326
496	0.1634798284
497	0.1631034763
498	0.1625208291
499	0.1623720243
